spor,tarih,saat,maç,turnuva,kanal
Basketbol,2025-08-03,13:30,Polonya - Bosna Hersek,FIBA U18 Avrupa Şampiyonasi B,FIBA TV
Futbol,2025-08-03,14:00,Tottenham - Newcastle Utd.,Hazirlik Maçi,TRT Spor
Futbol,2025-08-03,14:30,Greuther Fürth - Dynamo Dresden,Almanya Bundesliga 2,Tuttur TV
Futbol,2025-08-03,14:30,Hannover 96 - Kaiserslautern,Almanya Bundesliga 2,S Sport Plus
Futbol,2025-08-03,14:30,Magdeburg - Braunschweig,Almanya Bundesliga 2,Tuttur TV
Futbol,2025-08-03,14:30,Genk - Antwerp,Belçika Pro League,Tuttur TV
Basketbol,2025-08-03,14:30,Sırbistan - Slovenya,FIBA U18 Avrupa Şampiyonasi,FIBA TV
Futbol,2025-08-03,15:00,Ajax - Monaco,Hazirlik Maçi,Tivibu Spor 1
Basketbol,2025-08-03,15:00,Belçika - İsrail,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-03,15:00,Letonya - İsveç,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Futbol,2025-08-03,15:00,Sonderjyske - Nordsjaelland,Danimarka Süper Ligi,Tuttur TV
Basketbol,2025-08-03,15:30,Azerbaycan - Kosova,FIBA U18 Avrupa Şampiyonasi B,FIBA TV
Basketbol,2025-08-03,15:30,Ukrayna - Finlandiya,FIBA U18 Avrupa Şampiyonasi B,FIBA TV
Basketbol,2025-08-03,16:00,Hırvatistan - Hollanda,FIBA U18 Avrupa Şampiyonasi B,FIBA TV
Futbol,2025-08-03,17:00,Aarhus - FC Midtjylland,Danimarka Süper Ligi,Tuttur TV
Futbol,2025-08-03,17:00,Cercle Brugge - Anderlecht,Belçika Pro League,Tuttur TV
Basketbol,2025-08-03,17:00,Kuzey Makedonya - Bulgaristan,FIBA U18 Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-03,17:30,Fransa - Slovenya,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-03,17:30,Hollanda - Polonya,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-03,18:00,Slovakya - Romanya,FIBA U18 Avrupa Şampiyonasi B,FIBA TV
Basketbol,2025-08-03,18:00,İrlanda - Norveç,FIBA U18 Avrupa Şampiyonasi B,FIBA TV
Futbol,2025-08-03,18:30,Celtic - St.Mirren,İskoçya Premier Lig,S Sport Plus
Basketbol,2025-08-03,18:30,Gürcistan - Portekiz,FIBA U18 Avrupa Şampiyonasi B,FIBA TV
Futbol,2025-08-03,19:00,PSV - G.A. Eagles,Hollanda Süper Kupa Final,S Sport
Futbol,2025-08-03,19:00,Brondby IF - Viborg,Danimarka Süper Ligi,Tuttur TV
Futbol,2025-08-03,19:30,St.Gilloise - Leuven,Belçika Pro League,Tuttur TV
Basketbol,2025-08-03,19:30,İtalya - Letonya,FIBA U18 Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-03,19:30,Türkiye - Almanya,FIBA U18 Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-03,20:00,Almanya - Portekiz,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-03,20:00,İtalya - Çekya,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Futbol,2025-08-03,20:15,Charleroi - St.Truiden,Belçika Pro League,Tuttur TV
Basketbol,2025-08-03,20:30,Danimarka - Estonya,FIBA U18 Avrupa Şampiyonasi B Final,FIBA TV
Futbol,2025-08-03,21:00,Bournemouth - West Ham,Premier Lig Yaz Serisi,Bein Sports 3
Futbol,2025-08-03,21:00,Porto - Atletico Madrid,Hazirlik Maçi,Tivibu Spor 1
Futbol,2025-08-03,22:00,Racing Club - Deportivo Riestra,Arjantin Kupasi,Tuttur TV
Futbol,2025-08-03,22:00,Corinthians - Fortaleza,Brezilya Serie A,Spor Smart
Basketbol,2025-08-03,22:00,İspanya - Fransa,FIBA U18 Avrupa Şampiyonasi Final,FIBA TV
Basketbol,2025-08-03,22:30,İspanya - Litvanya,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-03,22:30,İzlanda - Türkiye,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Futbol,2025-08-04,00:00,Manchester Utd - Everton,Premier Lig Yaz Serisi,Bein Sports 3
Futbol,2025-08-04,01:30,Vitoria - Palmeiras,Brezilya Serie A,Spor Smart
Futbol,2025-08-04,13:00,Kura Çekimi,UEFA Şampiyonlar Ligi,FB TV
Futbol,2025-08-04,14:00,Daegu - Barcelona,Hazirlik Maçi,Yayın Yok
Basketbol,2025-08-04,15:00,İtalya - Hollanda,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-04,15:00,Fransa - Almanya,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-04,17:30,Litvanya - İsrail,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-04,17:30,İsveç - Türkiye,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Futbol,2025-08-04,19:00,Liverpool - Athletic Bilbao,Hazirlik Maçi,TRT Spor
Futbol,2025-08-04,19:00,Unirea Slobozia - Otelul,Romanya Liga 1,Tuttur TV
Futbol,2025-08-04,20:00,Umea - Falkenbergs,İsveç Superettan,Tuttur TV
Futbol,2025-08-04,20:00,Göteborg - Degerfors,İsveç Allsvenskan,Tuttur TV
Basketbol,2025-08-04,20:00,Çekya - Polonya,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-04,20:00,İspanya - Belçika,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Futbol,2025-08-04,21:30,Rapid Bükreş - Botosani,Romanya Liga 1,Tuttur TV
Futbol,2025-08-04,22:00,Hearts - Aberdeen,İskoçya Premier Lig,S Sport Plus
Basketbol,2025-08-04,22:30,Letonya - İzlanda,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
Basketbol,2025-08-04,22:30,Slovenya - Portekiz,FIBA U20 Kadinlar Avrupa Şampiyonasi,FIBA TV
